Station #,Station Name,NumRacks,Latitude,Longitude,coordinates
49371,E Liberty Blvd & Larimer Ave,6,40.46361735,-79.91746902,POINT (-79.91746902 40.46361735)
49391,E Liberty Blvd & Negley Ave,5,40.467715,-79.92787,POINT (-79.92787 -40.4677154)
49401,Stanton Ave & N Negley Ave,6,40.47122337,-79.92560189,POINT (-79.92560189 40.47122337)
49441,Roup Ave & Friendship Ave,5,40.46150726,-79.93510187,POINT (-79.93510187 40.46150726)
49501,Penn Ave & 39th St,6,40.46490704,-79.96008396,POINT (-79.96008396000001 40.46490704)
49561,Butler St & 48th St,6,40.47603982,-79.95763779,POINT (-79.95763779000001 40.47603982)
49581,Liberty Ave & 37th St,6,40.462184,-79.96162,POINT (-79.96162 40.462184)
49601,Smallman St & 31st St,6,40.46011138,-79.97276008,POINT (-79.97276008 40.46011138)
49611,24th St & Smallman St,6,40.45400101,-79.98171329,POINT (-79.98171329 40.45400101)
49621,14th St & Penn Ave,6,40.447208,-79.989725,POINT (-79.98972500000001 40.447208)
49641,11th St & Penn Ave,6,40.44475071,-79.99391198,POINT (-79.99391197999999 40.44475071)
49651,Grant St & Strawberry Way,7,40.44170511,-79.99510288,POINT (-79.99510288 40.44170511)
49671,9th St & Penn Ave,5,40.44353412,-79.99839664,POINT (-79.99839664 40.44353412)
49691,Liberty Ave & 6th St,6,40.44193373,-80.00207126,POINT (-80.00207125999999 40.44193373)
49701,Third Ave & Stanwix St,5,40.44001486,-80.00447989,POINT (-80.00447989 40.44001486)
49731,Ross St & Fourth Ave,7,40.43766313,-79.99629378,POINT (-79.99629378 40.43766313)
49781,Fifth Ave & Miltenberger,6,40.43829598,-79.98117685,POINT (-79.98117685 40.43829598)
49801,Microsoft,6,40.45379691,-79.99094009,POINT (-79.99094009 40.45379691)
49881,Arch St & Jacksonia St,5,40.45777261,-80.00945807,POINT (-80.00945806999999 40.45777261)
49921,W General Robinson St & Chuck Noll Way,5,40.44741245,-80.01206517,POINT (-80.01206517 40.44741245)
49951,Butler St & 36th St,6,40.46529884,-79.96527672,POINT (-79.96527672000001 40.46529884)
